equal,vol_scaled,cum_equal,cum_vol_scaled,pnl
0.0,0.0,0.0,0.0,0.0
-0.02,-0.02,-0.02,-0.02,-0.02
0.0049019607843137,0.0051670458954278,-0.0150980392156863,-0.0148329541045721,0.0049019607843137
-0.0198019801980198,-0.0198019801980198,-0.0349000194137061,-0.0346349343025919,-0.0198019801980198
0.0,-0.0007553347775707,-0.0349000194137061,-0.0353902690801627,0.0
-0.0096153846153845,-0.010591553860695,-0.0445154040290906,-0.0459818229408577,-0.0096153846153845
0.0,-0.001467914756411,-0.0445154040290906,-0.0474497376972687,0.0
-0.0046296296296296,-0.0036604975690129,-0.0491450336587203,-0.0511102352662817,-0.0046296296296296
-0.0093457943925233,-0.0098479772048002,-0.0584908280512436,-0.060958212471082,-0.0093457943925233
0.0091743119266054,0.0072538300450163,-0.0493165161246382,-0.0537043824260656,0.0091743119266054
